0.005,124.9
0.01,61.6
0.015,64.8
0.02,60.6
0.025,58.5
0.03,60.0
0.035,59.9
0.04,55.7
0.045,55.2
0.05,57.2
0.055,52.5
0.06,54.9
0.065,52.8
0.07,53.3
0.075,52.3
0.08,52.1
0.085,52.4
0.09,52.6
0.095,55.0
0.1,53.7
0.105,52.5
0.11,52.9
0.115,53.4
0.12,52.7
0.125,53.6
0.13,56.7
0.135,60.8
0.14,58.6
0.145,55.4
0.15,57.9
0.155,61.6
0.16,60.4
0.165,56.0
0.17,57.5
0.175,57.4
0.18,56.1
0.185,56.1
0.19,56.6
0.195,57.8
0.2,57.5
0.205,57.9
0.21,61.2
0.215,60.6
0.22,60.7
0.225,60.9
0.23,62.0
0.235,63.3
0.24,59.0
0.245,60.7
0.25,57.8
0.255,81.1
0.26,82.0
0.265,81.6
0.27,81.7
0.275,81.6
0.28,82.1
0.285,81.8
0.29,82.1
0.295,82.1
0.3,82.0
0.305,83.6
0.31,85.1
0.315,83.3
0.32,84.2
0.325,83.1
0.33,83.4
0.335,82.9
0.34,83.3
0.345,83.3
0.35,82.7
0.355,83.2
0.36,83.6
0.365,83.6
0.37,82.5
0.375,82.9
0.38,85.7
0.385,84.6
0.39,84.2
0.395,84.8
0.4,84.2
0.405,84.1
0.41,83.6
0.415,83.3
0.42,83.7
0.425,84.4
0.43,82.6
0.435,84.0
0.44,82.6
0.445,84.5
0.45,83.6
0.455,84.2
0.46,83.4
0.465,84.8
0.47,84.1
0.475,84.2
0.48,85.7
0.485,87.9
0.49,84.8
0.495,83.3
0.5,85.7
